event_id,account_id,user_id,event_type,event_timestamp_utc
1,1,user_1_1,view_dashboard,2025-11-06T11:56:29Z
2,1,user_1_1,update_settings,2025-11-22T22:16:29Z
3,1,user_1_1,login,2025-11-23T10:29:29Z
4,1,user_1_1,update_settings,2025-11-08T18:02:29Z
5,1,user_1_1,view_dashboard,2025-10-07T22:26:29Z
6,1,user_1_1,view_dashboard,2025-09-06T03:22:29Z
7,1,user_1_1,view_dashboard,2025-11-07T06:37:29Z
8,1,user_1_1,create_alert,2025-11-22T04:49:29Z
9,1,user_1_1,update_settings,2025-11-01T14:57:29Z
10,1,user_1_1,update_settings,2025-11-19T04:38:29Z
11,1,user_1_1,update_settings,2025-10-18T22:31:29Z
12,1,user_1_1,login,2025-09-11T08:54:29Z
13,1,user_1_1,login,2025-11-05T13:19:29Z
14,1,user_1_1,create_alert,2025-09-14T05:33:29Z
15,1,user_1_1,export_report,2025-11-07T19:26:29Z
16,1,user_1_1,update_settings,2025-09-14T11:09:29Z
17,1,user_1_1,view_dashboard,2025-10-06T04:26:29Z
18,1,user_1_1,export_report,2025-11-27T08:51:29Z
19,1,user_1_1,export_report,2025-10-14T08:39:29Z
20,1,user_1_1,update_settings,2025-10-25T10:02:29Z
21,1,user_1_1,create_alert,2025-09-13T02:34:29Z
22,1,user_1_1,view_dashboard,2025-11-02T17:08:29Z
23,1,user_1_1,update_settings,2025-10-10T22:18:29Z
24,1,user_1_1,view_dashboard,2025-11-17T00:12:29Z
25,1,user_1_1,login,2025-11-20T12:03:29Z
26,1,user_1_1,create_alert,2025-09-19T14:19:29Z
27,1,user_1_1,update_settings,2025-10-06T00:27:29Z
28,1,user_1_1,login,2025-09-07T22:55:29Z
29,1,user_1_1,export_report,2025-11-20T07:16:29Z
30,1,user_1_1,create_alert,2025-12-03T16:47:29Z
31,1,user_1_1,update_settings,2025-11-11T23:45:29Z
32,1,user_1_1,export_report,2025-09-14T00:05:29Z
33,1,user_1_1,view_dashboard,2025-10-18T11:09:29Z
34,1,user_1_1,update_settings,2025-10-24T01:42:29Z
35,1,user_1_1,export_report,2025-10-26T09:40:29Z
36,1,user_1_1,update_settings,2025-11-24T13:57:29Z
37,1,user_1_1,login,2025-09-27T12:35:29Z
38,1,user_1_1,update_settings,2025-11-13T08:10:29Z
39,1,user_1_1,view_dashboard,2025-09-25T16:59:29Z
40,1,user_1_1,export_report,2025-10-13T19:02:29Z
41,1,user_1_1,create_alert,2025-09-29T02:36:29Z
42,1,user_1_1,view_dashboard,2025-11-26T06:42:29Z
43,1,user_1_1,update_settings,2025-11-06T16:39:29Z
44,1,user_1_1,view_dashboard,2025-11-26T14:48:29Z
45,1,user_1_1,login,2025-09-30T09:26:29Z
46,1,user_1_1,view_dashboard,2025-09-26T11:57:29Z
47,1,user_1_1,view_dashboard,2025-10-05T03:31:29Z
48,1,user_1_1,login,2025-09-11T03:21:29Z
